facility_code,DHIS2 UID,Hims code,facility_name,admin1,admin2,Constituency,Ward,zone,Location,facility_type,ownership_detail,status,Mobility status,Accesibility,catchment_population,Catchment population cso,Number of households,latitude,longitude,ownership,country,data_source,coordinate_valid,open_date,open_year,uid,coordinate_source,urban_rural_strata,inpatient,outpatient,maternity,emergency,laboratory,malaria_services,extraction_date,data_quality_flag
1835,fykM10MbEBA,90010019,Namatindi Rural Health Centre,Western,Kalabo,Kalabo Central,Ndoka,NA,Rural,Health Centre,Public,Functional,Fixed,Open,6782,6377,NA,-14.44888262,22.76034052,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
1815,gEweSN8WhZF,90150001,Kaluwe Rural Health Centre,Western,Sikongo,Sikongo,Nengu,NA,Rural,Health Centre,Public,Functional,Fixed,Open,3710,2930,NA,-14.501655,22.134218,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2564,giU2oIx29d9,30040029,Mankhaka  Health Post,Eastern,Lundazi,Lundazi,Lunevwa,NA,Rural,Health Post,Public,Functional,Fixed,Open,NA,8153,NA,-12.28888333,33.17441667,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
4084,IegtibyJG2A,90090011,Chisu Health Post,Western,Mwandi,Mwandi,Chisu,NA,Rural,Health Post,Public,Functional,Fixed,Open,1409,995,NA,-17.264517,24.383903,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
4157,oHlcVn3rdb1,40020001,Chienge District Hospital,Luapula,Chienge,Chienge,Chienge,NA,Rural,1st Level Hospital,Public,Functional,Fixed,Open,NA,NA,NA,-8.65494,29.16818,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
1337,rm5rfKGTRRX,100400018,Nanzhila Rural Health Centre,Southern,Itezhi-Tezhi,Itezhi-Tezhi,Luchena,NA,Rural,Health Centre,Public,Functional,Fixed,Open,11505,4736,1698,-16.095959,26.08017,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
3467,SYXuVDTkCWp,90070010,Lealui Rural Health Centre,Western,Mongu,Mongu Central,Lealui Lower,NA,Rural,Health Centre,Public,Functional,Fixed,Open,7389,6791,1132,-15.23853,23.024347,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000007,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
3662,tour3dWaWFA,50040030,Zubeda Clinic,Lusaka,Kafue,Kafue,Kafue,NA,Urban,Diagnostic centre,Private,Functional,Fixed,Open,NA,NA,NA,-15.7726,28.18208,Private,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000008,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
1830,uUiYjRMs1RE,10050026,Katondo Urban Health Centre,Central,Kabwe,Kabwe Central,Luansase,NA,Urban,Health Centre,Public,Functional,Fixed,Open,NA,18946,NA,-14.45656559,28.471535,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000009,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2503,VjtgxrdsR2z,70040039,Mutanda Rural Health Centre,North-Western,Kalumbila,Solwezi West,Mwajimambwe,NA,Rural,Health Centre,Public,Functional,Fixed,Open,6911,4839,1721,-12.422681,26.220345,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
3283,Y5biOpmM5L9,80030017,Hamatuba Health Post,Southern,Gwembe,Gwembe,Kkota Kkota,NA,Rural,Health Post,Public,Functional,Fixed,Open,1724,1628,378,-16.77294134,28.06408955,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000011,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
3237,yMIYLAmfBhX,90120007,Lumbe Nanyenzu Health Post,Western,Senanga,Senanga,Mata,NA,Rural,Health Post,Public,Functional,Fixed,Open,2045,1331,NA,-16.105277,23.298611,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000012,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
1901,NA,30030016,Kawaza Rural Health Post,Eastern,Katete,Milanzi,Milanzi,NA,Rural,Health Post,Public,Functional,Fixed,Open,NA,3524,NA,-14.256272,32.164201,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000013,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2817,NA,40090007,Katuta Rural Health Centre,Luapula,Mwense,Mambilima,Mpasa,NA,Rural,Health Centre,Public,Functional,Fixed,Open,5258,4813,1249,-10.7849,28.5906,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),FALSE,NA,NA,ZMB-000014,NA,NA,NA,NA,NA,NA,NA,NA,NA,low
3240,NA,55060004,Choma Health Post,Muchinga,Mafinga,Mafinga,Kakoma,NA,Rural,Health Post,Public,Functional,Fixed,Open,4756,3068,511,-10.3632,33.40582,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000015,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
4020,NA,70110015,Mpidi Health Centre,North-Western,Zambezi,Zambezi East,Mpidi Kakong'a,NA,Rural,Health Centre,Public,Functional,Fixed,Open,5020,2134,1780,-14.159019734304,23.316753999023,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000016,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
4126,NA,20020005,Chingola Surgery Limited,Copperbelt,Chingola,Nchanga,Kwacha,NA,Urban,General clinic,Private,Functional,Fixed,Restricted,NA,NA,NA,-12.32313,25.520052,Private,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000017,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
1772,cHZ873GiBvb,90150015,Makia Health Post,Western,Sikongo,Sikongo,Mutala,NA,Rural,Health Post,Public,Functional,Fixed,Open,1505,1669,NA,-14.700629,22.368515,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000018,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
1805,DHFACuk7j91,90010012,Lutwi Health Post,Western,Kalabo,Kalabo Central,Lutwi,NA,Rural,Health Post,Public,Functional,Fixed,Open,3656,2788,NA,-14.54194624,22.27855835,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000019,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
4225,hoSxAo5iWzK,50060324,Multi Care Hospital,Lusaka,Lusaka,Kabwata,Kabwata,NA,Urban,1st Level Hospital,Private,Functional,Fixed,Open,NA,NA,NA,-15.4436461,28.315525,Private,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000020,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
3668,NA,50060096,First Fruits Health Centre,Lusaka,Lusaka,Kabwata,Kamwala,NA,Urban,General clinic,Private,Functional,Fixed,Open,NA,NA,NA,-15.4556412,28.2919459,Private,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000021,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
3658,NA,50030033,Village of Hope Health Center,Lusaka,Chongwe,Chongwe,Chongwe,NA,Rural,General clinic,Public,Functional,Fixed,Open,NA,NA,NA,-15.3149,28.68143,Private,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000022,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2509,EPFhCu9uVGy,70040046,Shilenda Rural Health Centre,North-Western,Kalumbila,Solwezi West,Shilenda,NA,Rural,Health Centre,Public,Functional,Fixed,Open,2554,2554,702,-12.392532,25.767549,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
1664,F3Df5hdcSCP,90030005,Limulunga Stage II Rural Health Centre,Western,Limulunga,Luena,Limulunga West,NA,Rural,Health Centre,Public,Functional,Fixed,Open,9857,12769,NA,-15.13463,23.14575,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000024,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2629,lJUdENsBwiT,70100009,Kamitonte Rural Health Centre,North-Western,Solwezi,Solwezi Central,Kamalamba,NA,Rural,Health Centre,Public,Functional,Fixed,Open,4690,1477,15,-12.002304,26.415867,Other,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000025,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
1097,pjbSejGub7j,90090008,Situlu Health Post,Western,Mwandi,Mwandi,Mabumbu,NA,Rural,Health Post,Public,Functional,Fixed,Open,3670,2702,NA,-17.276812,25.017909,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000026,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
3981,Rha4fC0fQdx,70400021,Lubilo Health Post,North-Western,Mufumbwe,Mufumbwe,Kamabuta,NA,Rural,Health Post,Public,Functional,Fixed,Open,8345,5224,5,-13.184307,24.907225,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000027,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2004,sBDT0IlHEjL,30010001,Bwanunkha Rural Health Centre,Eastern,Chadiza,Chadiza,Manje,NA,Rural,Health Centre,Public,Functional,Fixed,Open,7718,5156,5,-13.934065,32.576443,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000028,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2566,SLDZkmhCL3X,20020038,Shimulala Health Post,Copperbelt,Chingola,Chingola,Kalilo,NA,Rural,Health Post,Public,Functional,Fixed,Open,NA,"1,535",NA,-12.494461896503,27.810874970703,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000029,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2403,VDe0tKN8vf5,20040096,Tinna Medical Centre,Copperbelt,Kitwe,Nkana,Buchi,NA,Urban,Health Centre,Private,Functional,Fixed,Open,NA,NA,NA,-12.79542,28.20821,Private,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000031,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2904,vXXdSBZnCo6,60110016,Mushika Health Post,Northern,Lunte,Lunte,Lunte,NA,Rural,Health Post,Public,Functional,Fixed,Open,2431,2171,372,-9.960946,30.747583,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000032,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2557,xCkn8hjrAYp,20010012,Konkola Health Post,Copperbelt,Chililabombwe,Chililabombwe,Joseph Mwilwa,NA,Urban,Health Post,Public,Functional,Fixed,Open,NA,9111,NA,-12.29901243,27.75720412,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000033,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2893,z7zWuoUG9tu,40090008,Kawama Rural Health Centre,Luapula,Mwense,Mwense,Chiwasha,NA,Rural,Health Centre,Public,Functional,Fixed,Open,10965,"10,923",1943,-10.084,28.63336,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000034,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
3481,ZVmjD9okMQ9,55020010,Lubwa Rural Health Centre,Muchinga,Chinsali,Chinsali,Lubwa,NA,Rural,Health Centre,Public,Functional,Fixed,Open,9491,10896,1934,-10.591334,32.006834,Faith-Based / NGO,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2280,NA,20050023,Misaka Health Post,Copperbelt,Luanshya,Luanshya,Baluba,NA,Rural,Health Post,Public,Functional,Fixed,Open,18590,7741,2667,-13.029763,28.453016,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000036,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
3092,NA,40010003,Fikombo Health Post,Luapula,Chembe,Chembe,Munfula,NA,Rural,Health Post,Public,Functional,Fixed,Open,3463,1385,646,-11.911045667437,28.645105057526,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000037,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
3605,gziwrjV3Cpc,40010001,Chembe Rural Health Centre,Luapula,Chembe,Chembe,Luapula,NA,Rural,Health Centre,Public,Functional,Fixed,Open,20703,11597,3608,-11.967709543184,28.745475279713,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000039,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
1281,IfZdMeVayxj,80080013,Hamapande Rural Health Centre,Southern,Monze,Monze Central,Hufwa-Hamapande,NA,Rural,Health Centre,Public,Functional,Fixed,Open,8278,7718,NA,-16.30163888,27.12485061,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000040,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
3530,GrbPvqYxmR6,60050025,Mayanga Health Post,Northern,Mbala,Mbala,Motomoto,NA,Rural,Health Post,Public,Functional,Fixed,Open,4215,3812,701,-8.786396,31.390706,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000041,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
4226,NA,50060056,City Dental Clinic,Lusaka,Lusaka,Lusaka Central,Independence,NA,Urban,General clinic,Private,Functional,Fixed,Open,NA,NA,NA,-15.4067,28.29598,Private,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000042,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
4317,VtBghcd7h94,50060297,WHB Medical Centre,Lusaka,Lusaka,Mandevu,Mulungushi,NA,Urban,General clinic,Private,Functional,Fixed,Open,NA,NA,NA,-15.392212,28.308881,Private,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000043,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
1817,lc5Q2MTDCBb,10050019,Kafulamase Health Post,Central,Kabwe,Kabwe Central,Luansase,NA,Urban,Health Post,Public,Functional,Fixed,Open,2493,2264,581,-14.484307,28.512841,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000045,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
1447,PEj17OmVdEG,90120005,Lui River Rural Health Centre,Western,Senanga,Senanga,Lipuwe,NA,Rural,Health Centre,Public,Functional,Fixed,Open,6654,5730,NA,-15.7598,23.5246,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000046,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
3578,RaqVQEmDtQ9,70030031,Kamisamba Health Post,North-Western,Kabompo,Kabompo,Mumbeji,NA,Rural,Health Post,Public,Functional,Fixed,Open,1968,1286,NA,-13.989471,23.617306,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000047,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
3148,RyZgN88VMvk,20010017,Miteta Health Post,Copperbelt,Chililabombwe,Chililabombwe,Lubansa,NA,Rural,Health Post,Public,Functional,Fixed,Open,NA,2603,NA,-12.389875,27.763988,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000048,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
1311,tHbggYvidYU,90160015,Silowana Rural Health Centre,Western,Sioma,Sioma,Kalongola,NA,Rural,Health Centre,Public,Functional,Fixed,Open,5127,4958,NA,-16.195841,23.159877,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000049,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
3865,TxZQyiFB6ZF,40110043,Twingi Health Post,Luapula,Samfya,Bangweulu,Kapata,NA,Rural,Health Post,Public,Functional,Fixed,Open,3119,1719,593,-11.7484399,29.5073267,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000050,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
1469,WBlI9w8DKGN,100400008,Kaanzwa Rural Health centre,Southern,Itezhi-Tezhi,Itezhi-Tezhi,Kaanzwa,NA,Rural,Health Centre,Public,Functional,Fixed,Open,6903,2842,2235,-15.656098,26.107979,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000051,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
3492,Y8CFSLGPkty,60090005,Kampinda Rural Health Centre,Northern,Nsama,Chimbamilonga,Kampinda,Chamakubi Zone,Rural,Health Centre,Public,Functional,Fixed,Open,11787,10083,9825,-8.766667,29.766667,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000052,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
1720,NA,90150008,Mwenyi Health Post,Western,Sikongo,Sikongo,Mwenyi,NA,Rural,Health Post,Public,Functional,Fixed,Open,2617,2615,NA,-14.944999,22.569107,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000053,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2218,NA,20070006,Chondwe Health Post,Copperbelt,Masaiti,Kafulafuta,Chondwe,NA,Rural,Health Post,Public,Functional,Fixed,Open,NA,2267,5,-13.3096,28.760481,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000054,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2724,NA,40060048,Ndoba Rural Health Center,Luapula,Mansa,Bahati,Katangashi,NA,Rural,Health Centre,Public,Functional,Fixed,Open,9278,6252,1856,-11.2667,29.5236,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000055,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2896,NA,60080006,Kampamba Health Post,Northern,Mungwi,Malole,Kalungu,NA,Rural,Health Post,Public,Functional,Fixed,Open,10035,8026,1673,-10.022273,31.925295,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000056,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
3635,NA,70020007,Mukangala Health Centre,North-Western,Ikelenge,Ikelenge,Mukang'ala,NA,Rural,Health Centre,Public,Functional,Fixed,Open,1819,1592,265,-11.4287,24.3314,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000057,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
3815,NA,20040072,Mwaiseni Urban Health Center,Copperbelt,Kitwe,Kwacha,Lubwa,NA,Urban,Health Centre,Public,Functional,Fixed,Open,6271,6162,NA,-12.82212,28.24862,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000058,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
3917,NA,50070022,Rufunsa Rural Health Center,Lusaka,Rufunsa,Rufunsa,Rufunsa,NA,Rural,Health Centre,Public,Functional,Fixed,Open,NA,4089,NA,-15.3459,29.23904,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000059,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
1840,DyiUb2HoBDk,10050052,Pollen Urban Health Centre,Central,Kabwe,Kabwe Central,Kalonga,NA,Urban,Health Centre,Public,Functional,Fixed,Open,NA,13633,NA,-14.4412,28.4628,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000061,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
3055,EIbwCt3jZHv,40020012,Puta Rural Health Centre,Luapula,Chienge,Chienge,Katete,NA,Rural,Health Centre,Public,Functional,Fixed,Open,NA,"26,207",13420,-8.68798,29.14746,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000062,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2561,FmzbaGsTW3Y,20020025,Muchinshi Rural Health Centre,Copperbelt,Chingola,Chingola,Muchinshi,NA,Rural,Health Centre,Public,Functional,Fixed,Open,NA,"13,816",NA,-12.493740468216,27.542937245117,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000063,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2116,hGF1TZ82exO,20080016,Mfulabunga Rural Health Centre,Copperbelt,Mpongwe,Mpongwe,Kashiba,NA,Rural,Health Centre,Public,Functional,Fixed,Open,9457,3971,NA,-13.495047,28.032383,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000064,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
3962,mMGj3BlBy7L,70040022,Kimikanga Rural Health Center,North-Western,Kalumbila,Solwezi West,Matebo,NA,Rural,Health Centre,Public,Functional,Fixed,Open,1594,1065,NA,-12.690429,26.039575,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000066,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2273,K7bBuBcyRNs,20050041,Chawama Health Post,Copperbelt,Luanshya,Luanshya,Baluba,NA,Rural,Health Post,Public,Functional,Fixed,Open,2576,2212,494,-13.048616,28.415878,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000067,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
1737,MxxnLIYTtEr,90030007,Mwanawina Rural Health Centre,Western,Limulunga,Luena,Mabili,NA,Rural,Health Centre,Public,Functional,Fixed,Open,3355,3829,NA,-14.863283,23.176759,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000068,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
4065,NAWe3NzYNwi,9040016,Nyambi 2 Rural Health Centre,Western,Luampa,Luampa,Nyambi,NA,Rural,Health Centre,Public,Functional,Fixed,Open,3313,2193,366,-15.54,24.7282,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000069,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
1752,onmxRsyjrGq,90150005,Luoke West Rural Health Centre,Western,Sikongo,Sikongo,Mwenyi,NA,Rural,Health Centre,Public,Functional,Fixed,Open,3598,3592,NA,-14.800023,22.453162,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000070,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
1810,q07j3YIJfZR,90060007,Nyaala Health Post,Western,Mitete,Lukulu West,Muyondoti,NA,Rural,Health Post,Public,Functional,Fixed,Open,6715,4345,NA,-14.526549,23.085825,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000071,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
3389,q3WuKZnC69a,55070010,Kamwanya Health Post,Muchinga,Mpika,Mpika,Musakanya,NA,Rural,Health Post,Public,Functional,Fixed,Open,13850,9626,4225,-11.822758,31.466343,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000072,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
1616,SnjCsADRyRt,50030013,Kabeleka Health Post,Lusaka,Chongwe,Chongwe,Chalimbana,NA,Rural,Health Post,Public,Functional,Fixed,Open,NA,3223,NA,-15.2329,28.3318,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000073,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
3604,uFdT61U1OsA,40010006,Kasomalwela Rural Health Centre,Luapula,Chembe,Chembe,Kasomalwe,NA,Rural,Health Centre,Public,Functional,Fixed,Open,5458,4181,1222,-11.933406361839,28.917021281242,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000074,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
1823,wfrDFLlBldb,30060004,Chinambi Rural Health Centre,Eastern,Nyimba,Nyimba,Chinambi,NA,Rural,Health Centre,Public,Functional,Fixed,Open,6121,4924,NA,-14.4688603,30.6703981,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000075,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
1277,yGOr7VQRIrv,90160018,Sitoti Rural Health Centre,Western,Sioma,Sioma,Kalongola,NA,Rural,Health Centre,Public,Functional,Fixed,Open,4675,3747,779,-16.315384,23.269387,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000076,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
2103,YyEYUwT9aPn,302527,Mnoro Rural Health Centre,Eastern,Chipangali,Chipangali,Msandile,NA,Rural,Health Centre,Public,Functional,Fixed,Open,10984,9672,NA,-13.52566768,32.64685486,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000077,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
3929,zC87pADxmHE,55080021,Movu Health Post,Muchinga,Nakonde,Nakonde,Ng'umba,Chamakubi Zone,Rural,Health Post,Public,Functional,Fixed,Open,3534,3053,1135,-9.28448,32.55526,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000078,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
4188,DOMxCIqAOMT,20060032,Chilwa Health Post,Copperbelt,Lufwanyama,Lufwanyama,Mwelushi,NA,Rural,Health Post,Public,Functional,Fixed,Open,NA,2277,NA,-13.292242,27.793354,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000079,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
3099,gmjynHHCjio,20040042,KCM Nkana Clinic,Copperbelt,Kitwe,Nkana,Rokana,NA,Urban,Health Centre,Private,Functional,Fixed,Open,NA,NA,NA,-12.830468,28.210147,Private,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000080,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
3614,hY4osXzPP3y,30550012,Sichilima Health Post,Eastern,Lusangazi,Msanzala,Mawanda,NA,Rural,Health Post,Public,Functional,Fixed,Open,NA,3511,NA,-14.075221,31.431835,Public,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000081,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
1596,k2kKFAEjPhu,50010004,Human Service Trust Hospice,Lusaka,Chilanga,Chilanga,New Farms,NA,Rural,Health Post,Public,Functional,Fixed,Open,9004,3490,NA,-15.271542,28.111248,Faith-Based / NGO,Zambia,Zambia Ministry of Health Master Facility List (MFL),TRUE,NA,NA,ZMB-000082,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
